AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
4208.462,4228.974,4157.949,4200.641,4233.974,4243.333,4249.231,4514.231,4360.385,4325.385,4337.692,5432.564,4186.667,4122.564,1682464757.5171947
4210.641,4228.077,4159.103,4206.154,4233.205,4241.538,4244.744,4512.949,4357.949,4326.154,4338.333,5433.333,4187.821,4120.256,1682464757.5431948
4213.205,4227.949,4158.205,4216.026,4232.051,4238.462,4243.333,4513.846,4358.718,4324.231,4336.923,5434.103,4189.231,4120.513,1682464757.5431948
4212.949,4229.231,4157.179,4216.282,4232.436,4239.359,4247.564,4512.821,4360.385,4324.359,4336.667,5433.59,4189.103,4125.769,1682464757.5441947
4210.256,4229.744,4156.026,4204.615,4233.077,4243.077,4247.436,4510.513,4358.59,4327.179,4336.026,5432.821,4187.564,4124.231,1682464757.5441947
4210.385,4228.333,4158.462,4201.795,4231.667,4241.026,4242.821,4512.436,4358.077,4326.923,4336.795,5431.667,4188.077,4118.846,1682464757.5731947
4211.923,4229.872,4159.231,4210.513,4231.282,4238.59,4246.026,4513.462,4359.615,4325.769,4337.949,5430.513,4189.103,4120.128,1682464757.5731947
4212.564,4230.897,4154.487,4211.154,4233.718,4241.026,4249.103,4512.179,4360.128,4326.538,4337.949,5432.692,4189.487,4120.128,1682464757.5731947
4212.692,4224.487,4154.359,4205.769,4233.333,4242.308,4245.641,4513.077,4358.846,4326.026,4336.538,5433.59,4189.103,4117.179,1682464757.5741951
4214.872,4225.0,4160.385,4207.436,4230.385,4241.538,4243.333,4515.128,4358.974,4325.641,4334.487,5432.179,4188.59,4123.59,1682464757.603195
4212.692,4231.154,4159.872,4207.051,4230.769,4244.359,4246.154,4513.846,4360.128,4327.051,4332.436,5432.308,4189.103,4128.077,1682464757.603195
4211.41,4232.308,4157.179,4205.769,4232.564,4245.128,4247.436,4512.179,4358.718,4327.179,4335.0,5432.949,4192.179,4124.744,1682464757.603195
4217.564,4230.769,4158.462,4209.744,4231.923,4242.692,4247.179,4510.513,4357.308,4325.641,4339.744,5432.692,4190.0,4124.231,1682464757.603195
4217.308,4232.436,4159.231,4210.513,4231.538,4242.179,4246.026,4511.795,4359.872,4325.769,4340.256,5433.846,4187.051,4126.026,1682464757.6411939
4209.872,4233.59,4158.59,4204.231,4233.205,4245.256,4247.051,4513.718,4362.051,4327.436,4337.564,5433.205,4187.949,4125.513,1682464757.6421947
4208.974,4231.667,4158.974,4205.385,4233.462,4244.487,4246.538,4514.231,4360.128,4327.051,4337.051,5431.538,4189.872,4125.641,1682464757.6421947
4211.923,4231.538,4158.462,4212.949,4233.077,4245.256,4244.744,4514.487,4358.462,4326.282,4338.077,5433.077,4188.718,4125.385,1682464757.6421947
4210.513,4232.179,4158.205,4214.103,4233.333,4247.051,4246.154,4515.385,4360.256,4328.333,4337.051,5435.128,4188.205,4123.59,1682464757.672194
4210.513,4232.051,4159.103,4211.154,4232.821,4243.718,4248.205,4515.385,4361.154,4328.846,4337.308,5433.59,4190.128,4120.256,1682464757.672194
4214.103,4230.769,4157.821,4208.077,4233.205,4239.487,4245.641,4513.974,4359.359,4326.923,4340.385,5431.795,4190.128,4120.641,1682464757.672194
4213.205,4229.359,4157.179,4207.051,4234.359,4243.333,4244.615,4513.974,4358.846,4325.897,4340.128,5432.821,4188.59,4124.615,1682464757.672194
4212.179,4228.333,4157.949,4206.538,4233.974,4245.128,4247.949,4515.769,4360.256,4327.051,4336.667,5432.821,4189.103,4125.128,1682464757.7011936
4213.59,4230.128,4156.795,4205.256,4232.821,4243.974,4247.564,4515.513,4361.154,4328.333,4335.256,5433.974,4190.769,4125.256,1682464757.7011936
4213.846,4232.821,4156.538,4206.026,4233.974,4245.385,4246.795,4513.718,4360.769,4328.462,4334.744,5436.026,4188.333,4125.128,1682464757.7011936
4212.308,4232.692,4159.487,4209.103,4233.718,4244.103,4246.667,4514.231,4360.128,4328.205,4333.846,5433.59,4188.974,4121.923,1682464757.7011936
4210.897,4231.538,4159.872,4208.846,4231.538,4243.974,4245.641,4514.744,4357.692,4329.359,4336.41,5430.641,4192.051,4121.41,1682464757.732194
4212.051,4232.308,4157.436,4208.205,4232.692,4244.231,4244.487,4513.846,4358.718,4330.641,4341.282,5434.359,4190.0,4125.641,1682464757.732194
4210.256,4233.077,4160.128,4212.564,4234.231,4241.923,4246.667,4513.718,4361.667,4330.0,4341.154,5434.487,4188.205,4125.128,1682464757.732194
4209.872,4232.308,4163.718,4213.59,4232.692,4241.538,4248.462,4514.872,4361.154,4330.897,4339.231,5430.513,4190.897,4122.821,1682464757.732194
4215.385,4230.897,4161.282,4213.718,4232.308,4246.667,4250.256,4513.333,4359.872,4331.282,4340.256,5432.436,4189.872,4122.179,1682464757.7611935
4217.308,4231.41,4158.718,4215.256,4233.59,4244.359,4248.846,4513.333,4361.667,4327.179,4339.103,5434.231,4188.077,4124.103,1682464757.7611935
4214.103,4231.538,4158.205,4213.333,4233.333,4240.0,4245.385,4513.718,4361.667,4324.615,4336.667,5430.513,4189.487,4127.564,1682464757.7621932
4212.564,4229.744,4159.615,4209.872,4232.821,4242.436,4244.103,4514.231,4361.026,4326.667,4338.333,5429.487,4192.051,4125.385,1682464757.7621932
4211.667,4229.359,4161.41,4210.513,4234.231,4242.692,4247.692,4514.231,4362.564,4327.821,4339.615,5430.769,4190.513,4122.179,1682464757.791194
4211.026,4231.41,4160.385,4209.487,4233.59,4240.897,4248.718,4514.103,4363.077,4325.513,4337.179,5433.077,4187.564,4125.769,1682464757.791194
4213.718,4232.692,4157.949,4210.256,4232.436,4244.359,4247.821,4512.564,4361.538,4325.897,4337.308,5436.154,4189.103,4127.308,1682464757.7921937
4215.513,4232.564,4158.462,4217.436,4233.59,4246.667,4248.718,4511.667,4360.0,4327.692,4341.026,5435.513,4192.179,4124.103,1682464757.7921937
4213.077,4232.436,4160.0,4216.026,4234.872,4242.692,4248.59,4513.205,4360.641,4326.923,4341.282,5432.949,4191.795,4123.462,1682464757.8281932
4212.051,4232.308,4159.487,4209.231,4234.615,4242.051,4247.564,4512.949,4362.436,4326.795,4336.795,5434.231,4190.385,4122.821,1682464757.8281932
4212.821,4231.795,4160.897,4211.667,4233.59,4247.051,4249.615,4512.821,4361.538,4329.231,4335.513,5435.0,4192.692,4122.308,1682464757.8281932
4212.821,4231.795,4160.897,4211.923,4232.821,4247.564,4253.333,4514.744,4357.821,4329.231,4339.359,5432.564,4193.205,4124.872,1682464757.829193
4211.923,4232.692,4159.615,4207.821,4232.949,4243.846,4249.359,4515.256,4358.59,4325.769,4340.897,5434.103,4192.436,4125.128,1682464757.8521924
4210.513,4233.077,4160.385,4208.846,4233.974,4243.718,4246.282,4512.564,4361.923,4328.205,4338.205,5435.385,4190.0,4122.179,1682464757.8521924
4211.538,4232.051,4161.923,4208.974,4234.359,4245.0,4249.103,4512.821,4361.667,4331.667,4339.487,5434.359,4191.282,4123.462,1682464757.8531933
4212.692,4230.897,4161.154,4212.564,4233.974,4245.0,4250.256,4514.744,4358.59,4329.487,4341.795,5433.59,4193.59,4124.487,1682464757.8531933
4212.692,4232.179,4161.154,4218.333,4234.103,4243.59,4247.436,4513.974,4360.128,4329.359,4339.103,5433.462,4191.667,4124.103,1682464757.8891923
4211.282,4232.308,4162.436,4214.231,4234.103,4244.231,4249.359,4513.205,4362.821,4332.179,4337.692,5430.897,4189.103,4123.462,1682464757.8891923
4212.821,4231.282,4162.821,4212.051,4234.487,4244.103,4251.026,4515.385,4362.564,4331.154,4340.128,5432.051,4191.154,4125.769,1682464757.8891923
4216.795,4232.949,4163.077,4216.538,4235.256,4245.0,4247.821,4515.256,4361.282,4329.487,4338.718,5435.128,4192.308,4126.923,1682464757.8891923
4215.0,4234.359,4161.538,4208.974,4235.513,4245.128,4245.769,4512.564,4360.513,4331.795,4336.41,5433.846,4193.462,4125.256,1682464757.9181924
4213.718,4231.923,4157.436,4205.769,4235.513,4245.0,4248.077,4512.564,4360.0,4332.051,4340.0,5433.974,4193.077,4125.897,1682464757.9181924
4217.051,4231.41,4157.821,4216.154,4234.872,4247.179,4249.615,4514.615,4361.667,4331.538,4341.923,5435.641,4189.615,4127.564,1682464757.9181924
4216.538,4234.231,4162.564,4217.564,4234.231,4246.282,4248.333,4515.513,4363.718,4331.282,4336.923,5435.513,4189.103,4126.923,1682464757.9181924
4210.0,4233.333,4162.308,4212.179,4234.103,4242.436,4248.846,4514.231,4360.769,4330.0,4335.769,5434.359,4192.179,4125.128,1682464757.9551919
4210.641,4231.026,4159.872,4213.59,4233.974,4243.205,4249.615,4513.333,4359.103,4331.154,4340.641,5433.462,4193.718,4126.795,1682464757.9551919
4215.897,4231.923,4161.026,4216.026,4234.103,4246.923,4248.077,4515.0,4362.436,4332.564,4340.769,5433.077,4190.128,4125.769,1682464757.9551919
4216.154,4233.333,4162.436,4212.949,4234.103,4245.385,4248.974,4517.949,4362.436,4329.872,4337.821,5433.846,4188.59,4123.718,1682464757.9561925
4212.051,4231.923,4162.564,4213.205,4234.359,4244.615,4255.0,4516.026,4359.103,4328.333,4337.564,5433.59,4191.795,4124.615,1682464757.9561925
4212.564,4231.026,4163.205,4216.667,4234.615,4244.487,4251.923,4512.692,4361.026,4331.538,4338.59,5432.051,4193.59,4124.487,1682464757.9561925
4217.051,4233.077,4161.154,4214.103,4234.103,4242.949,4247.564,4513.59,4364.615,4331.667,4337.051,5432.179,4190.0,4125.256,1682464757.9561925
4217.179,4232.692,4160.769,4208.205,4233.333,4243.718,4248.974,4516.41,4364.103,4329.487,4337.436,5433.205,4189.872,4127.051,1682464757.9561925
4215.513,4229.872,4161.795,4209.231,4234.359,4246.538,4251.154,4514.615,4361.026,4329.872,4339.872,5433.974,4193.077,4125.128,1682464758.0101917
4214.744,4230.641,4160.128,4216.282,4235.256,4245.128,4249.744,4513.59,4362.564,4329.872,4340.513,5434.744,4193.205,4122.308,1682464758.0111916
4212.308,4232.821,4160.0,4217.051,4235.256,4243.59,4250.385,4515.128,4365.256,4329.359,4339.615,5433.846,4192.051,4124.359,1682464758.0111916
4211.538,4231.795,4162.436,4211.026,4234.615,4244.872,4250.385,4516.282,4364.231,4330.897,4338.462,5434.103,4192.564,4128.718,1682464758.0111916
4215.641,4230.0,4160.897,4208.333,4233.846,4246.41,4248.718,4516.154,4362.436,4330.0,4340.128,5435.769,4193.333,4128.205,1682464758.0461915
4217.692,4235.0,4158.333,4214.615,4234.487,4246.41,4248.205,4515.385,4361.538,4328.846,4340.897,5434.615,4193.846,4125.769,1682464758.0461915
4214.487,4239.231,4160.0,4218.974,4234.487,4246.41,4247.436,4514.744,4360.513,4331.154,4338.462,5431.667,4192.692,4125.897,1682464758.0461915
4211.667,4235.256,4160.641,4211.154,4233.077,4246.667,4246.923,4515.897,4360.641,4332.051,4338.462,5432.692,4192.821,4127.179,1682464758.0461915
4211.026,4232.308,4159.359,4208.205,4233.333,4246.538,4249.487,4516.667,4363.077,4330.385,4341.026,5434.103,4195.256,4124.615,1682464758.0751913
4213.974,4233.333,4159.872,4214.103,4234.615,4244.487,4251.795,4515.256,4363.077,4331.923,4341.538,5431.026,4193.974,4120.385,1682464758.0751913
4215.769,4232.949,4162.308,4218.205,4233.846,4242.564,4250.128,4515.513,4362.692,4334.231,4339.615,5430.0,4192.179,4121.154,1682464758.0751913
4211.795,4234.103,4163.077,4214.103,4232.949,4246.026,4249.487,4515.769,4365.128,4331.41,4339.872,5433.718,4192.179,4124.487,1682464758.0751913
4212.564,4235.385,4161.923,4207.179,4233.718,4246.41,4249.231,4515.769,4366.667,4327.821,4341.154,5436.026,4193.205,4126.026,1682464758.107191
4217.564,4233.718,4160.897,4210.128,4234.103,4244.231,4248.718,4515.128,4363.59,4330.513,4341.026,5433.718,4193.462,4123.59,1682464758.107191
4218.59,4236.667,4161.923,4217.821,4234.359,4244.487,4251.026,4515.128,4358.846,4333.205,4341.282,5433.077,4194.872,4124.744,1682464758.107191
4215.513,4237.692,4163.205,4215.897,4234.103,4247.564,4252.692,4515.256,4359.103,4329.359,4340.385,5434.103,4193.846,4127.949,1682464758.107191
4215.128,4231.41,4162.308,4209.615,4233.974,4246.538,4248.59,4515.769,4363.077,4330.0,4339.103,5434.615,4192.179,4127.179,1682464758.1451912
4215.513,4230.641,4160.897,4212.564,4234.487,4244.615,4247.692,4513.333,4363.333,4332.436,4338.462,5434.359,4194.231,4126.154,1682464758.1451912
4213.846,4235.128,4160.897,4215.641,4233.974,4243.59,4249.487,4512.179,4363.846,4330.897,4338.718,5434.359,4196.667,4127.692,1682464758.1451912
4214.231,4234.359,4160.385,4214.359,4233.718,4245.641,4250.128,4515.641,4364.744,4332.692,4338.077,5433.59,4193.077,4129.103,1682464758.1451912
4215.128,4232.949,4158.846,4214.615,4233.59,4247.564,4249.359,4517.436,4364.359,4333.974,4337.692,5431.538,4192.051,4127.051,1682464758.1661909
4217.436,4234.872,4164.359,4215.256,4233.718,4245.897,4250.641,4515.641,4364.359,4332.179,4340.385,5433.077,4195.641,4126.154,1682464758.1661909
4217.692,4233.59,4170.769,4215.641,4233.974,4245.128,4252.564,4515.256,4363.974,4334.744,4340.128,5436.154,4193.846,4126.282,1682464758.1661909
4216.41,4231.667,4165.256,4215.385,4235.0,4248.462,4252.308,4517.179,4362.821,4334.744,4338.077,5434.231,4191.41,4125.128,1682464758.1661909
4216.795,4234.359,4158.718,4216.026,4235.513,4248.59,4250.256,4517.436,4362.821,4329.487,4338.59,5429.744,4194.615,4126.154,1682464758.1951907
4217.692,4235.385,4162.179,4216.795,4234.103,4245.128,4248.846,4515.513,4364.487,4330.641,4338.846,5431.795,4195.641,4128.59,1682464758.196191
4216.795,4235.641,4165.128,4216.538,4233.718,4247.692,4251.41,4515.0,4362.821,4333.59,4339.359,5436.795,4192.051,4127.692,1682464758.2101905
4215.769,4237.051,4162.821,4214.615,4234.103,4248.974,4249.615,4516.667,4361.667,4333.077,4340.769,5439.103,4193.333,4125.769,1682464758.2101905
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682464758.2121906
4216.667,4237.436,4160.385,4215.385,4233.59,4246.282,4245.769,4516.154,4362.949,4332.051,4340.513,5436.667,4194.359,4125.0,1682464758.2331913
4216.41,4236.795,4160.641,4216.795,4233.205,4245.128,4245.897,4515.513,4365.513,4331.026,4339.615,5433.718,4191.667,4125.256,1682464758.2331913
4215.769,4236.538,4160.513,4217.051,4235.0,4247.308,4251.538,4516.026,4365.0,4334.359,4340.0,5435.385,4192.692,4126.154,1682464758.2331913
4216.282,4234.615,4162.179,4217.179,4235.256,4247.308,4250.897,4516.667,4362.308,4336.41,4340.385,5438.333,4197.821,4126.282,1682464758.2331913
4215.769,4232.179,4163.846,4216.923,4233.333,4247.051,4247.564,4514.359,4361.026,4331.154,4340.897,5435.256,4197.308,4123.462,1682464758.2641902
4214.744,4236.795,4162.949,4216.026,4234.359,4246.538,4249.103,4512.692,4360.769,4330.128,4340.769,5434.103,4193.205,4126.538,1682464758.2641902
4216.282,4239.359,4161.795,4215.641,4236.667,4246.923,4251.282,4512.949,4361.923,4333.205,4338.205,5436.154,4193.205,4131.282,1682464758.2641902
4217.564,4235.513,4163.59,4215.897,4236.026,4246.154,4249.231,4515.513,4364.359,4331.154,4337.821,5433.974,4196.282,4129.103,1682464758.2641902
4216.538,4233.205,4163.974,4216.538,4233.974,4244.872,4248.718,4517.564,4363.462,4329.103,4338.59,5432.436,4195.769,4127.308,1682464758.293191
4216.282,4233.205,4161.282,4217.051,4234.103,4245.385,4252.308,4518.077,4361.026,4331.667,4339.615,5435.513,4194.872,4128.59,1682464758.293191
4216.026,4231.538,4162.436,4216.923,4235.897,4246.795,4253.333,4517.821,4361.026,4332.051,4339.615,5435.0,4196.41,4126.41,1682464758.293191
4215.769,4231.282,4164.231,4216.538,4236.154,4247.308,4250.385,4516.923,4363.59,4331.282,4340.0,5433.077,4195.641,4123.718,1682464758.293191
4217.179,4236.795,4162.308,4215.385,4234.487,4248.077,4249.872,4516.795,4363.846,4332.308,4342.436,5435.641,4192.564,4126.538,1682464758.3233979
4217.949,4237.436,4161.282,4214.487,4234.231,4246.538,4251.282,4517.692,4362.308,4332.308,4342.692,5435.513,4192.179,4128.718,1682464758.3233979
4216.282,4232.179,4162.949,4215.385,4235.128,4244.103,4249.744,4517.564,4364.359,4331.41,4340.769,5433.462,4195.256,4126.795,1682464758.3239064
4216.795,4233.462,4162.949,4216.538,4234.103,4246.026,4249.872,4515.256,4368.077,4332.949,4340.769,5434.872,4194.872,4126.538,1682464758.3240361
4220.513,4237.821,4162.308,4216.795,4233.077,4247.436,4251.923,4514.744,4366.667,4333.333,4341.41,5437.821,4192.564,4130.385,1682464758.3608744
