AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682527025.478536
4313.205,4319.872,4305.513,4325.641,4333.846,4313.974,4298.462,4366.538,4325.128,4288.846,4368.718,4465.128,4325.641,4346.026,1682527025.5044622
4314.872,4336.026,4314.744,4331.795,4316.667,4312.949,4295.769,4367.308,4326.026,4279.487,4374.359,4479.487,4331.667,4354.487,1682527025.5054586
4316.795,4328.333,4314.231,4337.821,4310.769,4313.718,4295.0,4368.718,4324.231,4292.821,4379.359,4482.051,4336.795,4357.692,1682527025.5054586
4315.385,4316.154,4305.385,4329.872,4317.564,4312.821,4293.462,4367.692,4328.462,4288.462,4374.744,4468.718,4329.359,4348.333,1682527025.5054586
4312.564,4312.821,4294.615,4307.949,4305.256,4312.051,4291.41,4362.179,4312.821,4272.821,4358.718,4454.359,4311.41,4332.692,1682527025.5353553
4313.333,4315.128,4297.436,4310.256,4305.897,4313.077,4294.615,4363.718,4310.0,4286.41,4359.231,4460.128,4313.59,4333.59,1682527025.5353553
4314.744,4322.564,4308.462,4333.205,4324.487,4312.821,4297.051,4370.769,4335.641,4291.538,4380.385,4475.513,4329.231,4347.308,1682527025.5353553
4312.949,4331.282,4316.795,4338.974,4333.333,4314.103,4298.077,4374.487,4351.667,4276.667,4392.564,4483.462,4334.872,4355.0,1682527025.5353553
4313.846,4339.744,4325.769,4342.821,4349.103,4319.231,4296.795,4373.59,4349.872,4296.667,4398.718,4492.821,4345.897,4365.641,1682527025.5687022
4316.538,4338.205,4324.487,4348.205,4351.538,4319.231,4294.615,4367.308,4333.205,4326.795,4396.154,4492.949,4354.231,4368.077,1682527025.5687022
4312.949,4323.462,4310.256,4336.41,4328.974,4313.462,4297.821,4364.487,4308.718,4305.897,4377.949,4475.385,4334.103,4348.333,1682527025.5687022
4311.923,4320.385,4304.615,4327.692,4327.692,4311.026,4298.077,4368.59,4309.103,4275.128,4370.256,4467.051,4318.205,4339.487,1682527025.569222
4315.385,4337.179,4317.308,4338.462,4343.077,4312.692,4297.179,4373.59,4342.308,4300.0,4386.41,4483.718,4336.154,4355.641,1682527025.5953217
4317.436,4356.667,4337.051,4360.385,4350.513,4313.846,4303.205,4378.718,4362.436,4334.103,4408.718,4509.231,4363.333,4379.872,1682527025.5953217
4315.641,4350.256,4336.538,4363.077,4362.051,4313.462,4304.231,4375.128,4342.179,4314.359,4407.308,4513.462,4362.821,4381.282,1682527025.5967364
4314.359,4325.128,4316.795,4339.744,4360.897,4312.436,4298.205,4364.615,4318.077,4284.359,4387.692,4489.231,4339.615,4356.795,1682527025.5967364
4314.744,4328.718,4316.667,4336.667,4348.59,4312.051,4298.846,4370.256,4330.0,4301.667,4389.231,4483.077,4336.538,4354.615,1682527025.6250577
4316.282,4344.872,4331.538,4356.41,4353.205,4312.436,4301.154,4382.436,4363.846,4327.308,4407.821,4503.974,4355.128,4374.872,1682527025.6250577
4316.41,4332.179,4323.205,4348.59,4351.282,4313.846,4296.282,4375.769,4364.872,4317.436,4401.667,4498.718,4351.538,4366.795,1682527025.6260648
4312.949,4321.41,4310.385,4332.564,4340.513,4313.718,4297.564,4365.513,4331.41,4296.282,4382.308,4476.667,4329.615,4347.051,1682527025.6260648
4310.256,4329.744,4309.359,4338.974,4347.821,4312.564,4301.667,4364.744,4304.487,4285.128,4376.923,4470.897,4319.487,4347.821,1682527025.6553075
4312.179,4329.744,4307.564,4337.179,4346.538,4314.103,4298.333,4366.795,4311.026,4297.564,4382.051,4474.744,4326.667,4352.692,1682527025.6558037
4314.744,4325.641,4310.0,4333.077,4345.897,4313.974,4295.128,4371.538,4341.026,4320.769,4395.897,4483.974,4342.949,4358.718,1682527025.6558037
4313.205,4328.846,4320.256,4342.821,4347.692,4312.308,4293.333,4374.615,4347.821,4314.615,4403.333,4493.718,4348.205,4368.333,1682527025.6558037
4313.205,4336.667,4329.487,4352.436,4335.513,4317.436,4296.026,4372.564,4335.0,4291.923,4402.308,4498.333,4344.744,4372.949,1682527025.7001286
4314.359,4342.051,4324.103,4346.41,4334.872,4320.0,4300.0,4372.436,4338.205,4285.897,4395.0,4492.179,4339.872,4368.462,1682527025.7001286
4315.128,4331.154,4312.436,4335.0,4351.026,4313.59,4297.564,4372.436,4338.205,4305.385,4384.359,4481.41,4332.821,4361.154,1682527025.7001286
4315.641,4307.436,4309.615,4326.282,4324.231,4310.769,4295.513,4371.923,4329.487,4314.487,4379.231,4476.282,4323.59,4355.256,1682527025.7011251
4317.308,4301.538,4305.897,4318.846,4274.872,4313.205,4297.436,4372.308,4334.744,4298.462,4376.667,4470.128,4321.026,4347.821,1682527025.7011251
4316.41,4317.692,4298.077,4320.128,4294.744,4311.538,4295.897,4365.513,4320.256,4294.615,4368.59,4460.513,4325.641,4341.154,1682527025.7011251
