AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682526377.268282
4335.385,4333.333,4317.949,4329.359,4302.949,4307.051,4308.462,4299.359,4297.179,4290.385,4375.256,4451.538,4335.385,4363.333,1682526377.2744813
4327.051,4324.872,4307.949,4324.487,4307.821,4317.564,4321.538,4308.077,4289.103,4288.333,4370.256,4445.256,4330.641,4357.436,1682526377.2744813
4318.205,4315.256,4303.974,4323.846,4303.846,4328.846,4327.308,4320.385,4307.821,4278.462,4363.846,4444.744,4321.41,4347.179,1682526377.2749777
4323.462,4332.051,4311.154,4330.0,4310.769,4313.846,4301.667,4299.615,4309.103,4290.0,4367.051,4447.692,4329.872,4350.897,1682526377.2749777
4332.308,4348.333,4315.513,4335.513,4312.051,4301.795,4294.615,4288.59,4301.795,4314.359,4379.359,4449.231,4344.103,4361.538,1682526377.3100967
4328.846,4337.564,4311.282,4337.179,4292.821,4313.974,4316.154,4310.128,4312.821,4305.513,4378.846,4446.282,4341.538,4358.718,1682526377.310288
4322.436,4333.205,4308.205,4337.436,4303.333,4319.359,4316.923,4312.821,4320.128,4292.564,4370.513,4443.205,4337.692,4353.333,1682526377.3105474
4326.154,4346.282,4310.385,4336.41,4335.513,4321.282,4310.513,4302.179,4313.974,4309.103,4380.128,4447.821,4345.513,4360.897,1682526377.3107827
4327.308,4338.718,4307.436,4331.795,4327.051,4334.359,4323.462,4312.051,4315.385,4311.154,4385.769,4450.897,4346.538,4363.462,1682526377.3107827
4322.564,4321.795,4303.718,4323.974,4292.821,4325.0,4322.179,4316.41,4318.59,4293.718,4374.359,4445.128,4338.974,4355.769,1682526377.3113558
4324.744,4329.231,4310.769,4325.769,4289.103,4308.205,4318.205,4316.282,4314.103,4288.718,4375.0,4449.359,4334.615,4358.462,1682526377.3113558
4327.436,4336.795,4315.0,4336.026,4302.821,4323.333,4330.769,4320.897,4311.795,4291.795,4374.615,4458.205,4328.333,4360.256,1682526377.311776
4324.744,4333.077,4313.205,4338.462,4307.949,4335.641,4333.59,4320.897,4319.872,4291.41,4368.077,4458.077,4322.949,4356.795,1682526377.3655746
