AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1682525772.6291256
4341.154,4384.744,4309.615,4349.872,4376.538,4323.205,4314.872,4298.974,4308.077,4323.718,4366.923,4448.077,4336.538,4362.051,1682525772.656907
4356.538,4389.872,4321.154,4359.872,4375.641,4327.949,4319.487,4312.564,4288.846,4331.41,4381.923,4466.923,4346.923,4379.615,1682525772.6574
4355.385,4387.564,4322.564,4355.897,4374.872,4340.0,4327.564,4319.487,4298.974,4332.179,4387.308,4468.333,4342.949,4382.436,1682525772.6574
4343.462,4379.872,4312.179,4347.564,4367.436,4332.051,4318.462,4311.026,4307.051,4322.051,4378.59,4452.949,4335.513,4370.513,1682525772.6574
4330.769,4357.692,4296.667,4327.564,4335.128,4310.897,4300.513,4302.436,4299.359,4310.256,4362.179,4438.333,4319.231,4352.308,1682525772.6581001
4319.744,4341.667,4290.897,4312.821,4317.308,4298.333,4291.154,4294.359,4289.103,4298.59,4344.231,4425.0,4296.538,4336.154,1682525772.6581001
4317.564,4345.513,4290.769,4316.154,4326.923,4303.59,4291.667,4285.256,4277.949,4291.923,4338.077,4414.872,4291.795,4333.718,1682525772.6585958
4315.128,4346.026,4282.949,4316.795,4327.821,4319.872,4303.846,4278.718,4287.051,4308.462,4344.744,4412.308,4299.487,4334.487,1682525772.6585958
4311.667,4341.026,4283.205,4312.308,4328.077,4321.026,4304.103,4274.615,4294.487,4318.974,4345.513,4415.641,4295.385,4332.051,1682525772.7127464
4315.769,4342.692,4298.205,4313.974,4331.026,4292.308,4284.744,4288.846,4278.077,4304.872,4342.051,4423.846,4290.385,4334.615,1682525772.7131634
4321.282,4343.077,4296.282,4314.487,4315.641,4280.385,4280.385,4301.41,4269.615,4302.564,4344.615,4425.897,4296.154,4338.846,1682525772.7131634
4312.308,4332.821,4277.308,4307.179,4304.744,4307.179,4300.897,4279.744,4269.359,4302.564,4338.333,4412.308,4288.59,4326.667,1682525772.7131634
4298.077,4318.077,4272.692,4299.615,4305.897,4314.231,4300.769,4263.462,4261.667,4281.667,4319.872,4398.077,4269.359,4310.0,1682525772.713661
4291.667,4307.179,4278.846,4295.385,4301.795,4290.513,4278.59,4277.692,4269.231,4274.359,4306.795,4396.923,4257.308,4305.0,1682525772.713661
4291.282,4307.949,4275.0,4299.231,4305.0,4287.821,4277.949,4276.923,4284.359,4283.077,4310.641,4396.282,4255.256,4304.487,1682525772.7141569
4299.615,4318.718,4271.667,4305.513,4309.231,4303.846,4296.026,4274.231,4284.615,4290.513,4329.615,4405.385,4268.077,4315.256,1682525772.7141569
4310.513,4328.333,4286.282,4310.769,4313.846,4311.795,4312.949,4305.385,4290.897,4301.154,4347.051,4430.0,4290.513,4332.564,1682525772.774348
4314.744,4336.282,4297.308,4319.744,4323.59,4316.026,4312.308,4306.026,4286.41,4298.333,4342.949,4432.051,4294.487,4332.308,1682525772.774348
