AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1683041858.4563532
4286.154,4283.974,4274.231,4283.205,4306.667,4291.282,4300.513,4307.051,4277.821,4273.974,4315.385,4422.179,4281.154,4293.974,1683041858.4819567
4321.923,4317.436,4301.154,4313.718,4325.128,4312.436,4326.41,4337.436,4318.846,4287.949,4350.128,4450.128,4314.872,4331.026,1683041858.4819567
4358.333,4345.128,4330.897,4347.179,4331.923,4342.692,4347.436,4351.538,4339.231,4315.256,4377.692,4475.641,4339.103,4365.256,1683041858.4829626
4346.538,4332.821,4326.026,4335.897,4324.103,4337.308,4327.564,4328.205,4310.256,4308.462,4361.538,4472.051,4326.795,4353.59,1683041858.4833164
4321.538,4313.718,4310.513,4313.59,4313.718,4312.821,4303.59,4310.128,4292.821,4282.436,4341.795,4460.256,4310.513,4331.667,1683041858.5111382
4310.641,4302.821,4297.949,4301.026,4313.077,4293.333,4295.256,4307.436,4296.667,4275.769,4331.923,4443.462,4301.282,4318.846,1683041858.5111382
4302.308,4291.667,4284.359,4289.487,4308.077,4294.615,4291.026,4299.487,4284.615,4279.231,4318.846,4421.282,4290.0,4305.513,1683041858.5114837
4308.205,4300.769,4291.795,4299.744,4312.051,4315.769,4307.821,4304.231,4278.846,4285.385,4324.359,4426.282,4295.897,4311.41,1683041858.5114837
4336.154,4330.256,4319.103,4331.667,4343.077,4333.974,4343.974,4331.538,4310.769,4296.538,4350.513,4456.026,4321.282,4338.974,1683041858.5479584
4342.051,4334.359,4324.359,4339.231,4346.538,4335.513,4354.231,4339.744,4330.641,4297.564,4353.59,4461.923,4324.615,4344.744,1683041858.5481966
4330.897,4322.564,4315.385,4327.821,4321.154,4336.026,4344.872,4333.333,4321.538,4302.179,4349.744,4458.205,4319.103,4340.128,1683041858.5481966
4337.564,4329.487,4317.179,4329.872,4321.795,4341.667,4345.641,4342.308,4322.821,4308.077,4367.051,4471.41,4331.282,4354.872,1683041858.5486927
4328.205,4322.179,4303.846,4321.154,4324.231,4321.795,4328.462,4331.154,4309.615,4286.282,4352.436,4457.051,4315.897,4340.256,1683041858.5870903
4304.615,4303.718,4286.026,4305.256,4310.897,4294.872,4307.436,4306.923,4283.077,4267.821,4317.308,4427.949,4286.667,4305.513,1683041858.5870903
4318.077,4320.385,4298.462,4318.846,4317.179,4310.641,4325.385,4316.026,4292.564,4285.513,4332.564,4438.718,4301.282,4319.231,1683041858.5870903
4338.077,4341.538,4311.41,4333.205,4332.949,4341.923,4343.718,4333.077,4316.41,4302.564,4360.0,4454.615,4323.077,4344.615,1683041858.5875864
4322.564,4326.154,4300.385,4319.103,4330.769,4332.436,4327.692,4327.949,4312.821,4297.821,4346.795,4439.744,4312.051,4330.0,1683041858.5875864
4311.795,4313.846,4293.462,4310.641,4315.897,4314.744,4316.538,4318.974,4300.641,4289.231,4330.641,4427.949,4301.538,4313.077,1683041858.5879295
4314.744,4316.282,4294.231,4312.051,4305.128,4323.205,4317.692,4311.282,4295.0,4276.282,4327.436,4430.0,4298.846,4312.821,1683041858.5880835
4308.718,4311.154,4289.615,4303.718,4310.897,4320.769,4308.974,4304.487,4287.308,4271.154,4320.641,4434.872,4290.513,4308.974,1683041858.5880835
