AF4,F8,F4,FC6,T8,P8,O2,O1,P7,T7,FC5,F3,F7,AF3,time
3.0,7.0,3.0,5.0,7.0,7.0,1.0,2.0,8.0,8.0,6.0,4.0,8.0,4.0,1683041661.7438128
4330.128,4329.744,4317.821,4341.795,4174.744,4327.692,4349.359,4345.128,4309.744,4000.256,4359.487,4486.923,4314.231,4333.205,1683041661.7771497
4320.128,4317.051,4303.077,4326.667,4171.667,4323.59,4332.821,4332.692,4295.513,3980.769,4337.051,4480.128,4297.308,4321.282,1683041661.7771497
4335.385,4327.949,4314.359,4329.615,4192.436,4335.897,4343.205,4342.051,4307.308,4002.692,4356.154,4487.949,4314.487,4340.0,1683041661.7776465
4346.538,4342.051,4327.051,4344.872,4200.128,4335.513,4360.513,4355.641,4323.718,4033.59,4375.128,4485.897,4332.692,4352.821,1683041661.7776465
4337.821,4335.385,4316.154,4341.538,4183.205,4328.333,4352.821,4352.564,4318.846,4018.718,4364.744,4464.231,4324.872,4342.436,1683041661.8114014
4327.692,4325.256,4300.641,4328.59,4173.205,4326.41,4335.385,4344.231,4308.077,3995.128,4354.231,4447.308,4314.872,4331.923,1683041661.8114014
4323.59,4323.846,4296.795,4328.59,4183.846,4327.436,4331.026,4336.795,4297.308,4006.026,4348.59,4446.026,4310.128,4327.179,1683041661.8114014
4327.692,4327.949,4302.692,4337.949,4189.872,4334.487,4337.821,4336.667,4293.718,4011.282,4348.974,4459.359,4313.205,4332.564,1683041661.8114014
4339.359,4340.641,4315.128,4348.974,4182.308,4341.41,4344.231,4347.949,4309.872,4007.692,4367.308,4480.897,4333.718,4350.769,1683041661.8358114
4343.077,4350.897,4319.359,4352.949,4186.154,4333.205,4342.692,4351.154,4323.333,4014.615,4382.436,4481.41,4346.41,4358.846,1683041661.8358114
4335.256,4344.872,4311.923,4344.615,4195.0,4324.359,4336.667,4341.923,4311.41,4013.718,4374.231,4468.718,4332.308,4349.359,1683041661.8358114
4332.308,4339.615,4310.385,4342.436,4191.795,4327.564,4333.974,4340.897,4297.821,4016.282,4361.026,4471.923,4324.487,4343.077,1683041661.8358114
4329.615,4337.436,4310.897,4342.564,4183.462,4324.231,4331.026,4343.974,4293.462,4021.154,4355.0,4470.897,4327.051,4338.077,1683041661.8738043
